entry,at,order
"The player ""drak @ 5Zglli3yOZ"" stand up with the stack of 310.47.",2026-03-20T04:52:09.802Z,177398232980200
"""Daveo da rula @ hL2HOafVVY"" shows a 7♣, 10♦.",2026-03-20T04:52:07.454Z,177398232745400
"-- ending hand #254 --",2026-03-20T04:52:06.054Z,177398232605402
"""Daveo da rula @ hL2HOafVVY"" collected 12.00 from pot",2026-03-20T04:52:06.054Z,177398232605401
"Uncalled bet of 12.00 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:52:06.054Z,177398232605400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:52:05.228Z,177398232522800
"""Daveo da rula @ hL2HOafVVY"" raises to 13.00",2026-03-20T04:52:03.097Z,177398232309700
"""drak @ 5Zglli3yOZ"" bets 1.00",2026-03-20T04:51:57.623Z,177398231762300
"River: 8♥, K♠, 5♠, 6♣ [A♣]",2026-03-20T04:51:57.112Z,177398231711200
"""Daveo da rula @ hL2HOafVVY"" calls 1.00",2026-03-20T04:51:56.260Z,177398231626000
"""drak @ 5Zglli3yOZ"" bets 1.00",2026-03-20T04:51:54.131Z,177398231413100
"Turn: 8♥, K♠, 5♠ [6♣]",2026-03-20T04:51:52.957Z,177398231295700
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:51:52.150Z,177398231215000
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:51:50.771Z,177398231077100
"Flop:  [8♥, K♠, 5♠]",2026-03-20T04:51:50.185Z,177398231018500
"""drak @ 5Zglli3yOZ"" calls 4.00",2026-03-20T04:51:49.371Z,177398230937100
"""Daveo da rula @ hL2HOafVVY"" raises to 4.00",2026-03-20T04:51:46.300Z,177398230630000
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:51:44.305Z,177398230430505
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:51:44.305Z,177398230430504
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (196.87) | #6 ""drak @ 5Zglli3yOZ"" (316.47)",2026-03-20T04:51:44.305Z,177398230430501
"-- starting hand #254 (id: 5ahpeliggjvi)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:51:44.305Z,177398230430500
"-- ending hand #253 --",2026-03-20T04:51:41.354Z,177398230135402
"""Daveo da rula @ hL2HOafVVY"" collected 1.00 from pot",2026-03-20T04:51:41.354Z,177398230135401
"Uncalled bet of 0.50 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:51:41.354Z,177398230135400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:51:40.518Z,177398230051800
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:51:24.978Z,177398228497805
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:51:24.978Z,177398228497804
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (196.37) | #6 ""drak @ 5Zglli3yOZ"" (316.97)",2026-03-20T04:51:24.978Z,177398228497801
"-- starting hand #253 (id: 9ebdx2i8sgqc)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:51:24.978Z,177398228497800
"""Daveo da rula @ hL2HOafVVY"" shows a 6♦, 7♦.",2026-03-20T04:51:22.662Z,177398228266200
"-- ending hand #252 --",2026-03-20T04:51:21.344Z,177398228134402
"""Daveo da rula @ hL2HOafVVY"" collected 20.00 from pot",2026-03-20T04:51:21.344Z,177398228134401
"Uncalled bet of 20.00 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:51:21.344Z,177398228134400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:51:20.529Z,177398228052900
"""Daveo da rula @ hL2HOafVVY"" bets 20.00",2026-03-20T04:51:19.671Z,177398227967100
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:51:15.872Z,177398227587200
"Turn: 8♥, 9♦, Q♣ [Q♦]",2026-03-20T04:51:15.369Z,177398227536900
"""drak @ 5Zglli3yOZ"" calls 6.00",2026-03-20T04:51:14.543Z,177398227454300
"""Daveo da rula @ hL2HOafVVY"" bets 6.00",2026-03-20T04:51:13.220Z,177398227322000
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:51:09.364Z,177398226936400
"Flop:  [8♥, 9♦, Q♣]",2026-03-20T04:51:08.659Z,177398226865900
"""drak @ 5Zglli3yOZ"" calls 4.00",2026-03-20T04:51:07.844Z,177398226784400
"""Daveo da rula @ hL2HOafVVY"" raises to 4.00",2026-03-20T04:51:06.904Z,177398226690400
"""drak @ 5Zglli3yOZ"" posts a big blind of 1.00",2026-03-20T04:51:04.963Z,177398226496305
"""Daveo da rula @ hL2HOafVVY"" posts a small blind of 0.50",2026-03-20T04:51:04.963Z,177398226496304
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (186.37) | #6 ""drak @ 5Zglli3yOZ"" (326.97)",2026-03-20T04:51:04.963Z,177398226496301
"-- starting hand #252 (id: njczo0grdfca)  No Limit Texas Hold'em (dealer: ""Daveo da rula @ hL2HOafVVY"") --",2026-03-20T04:51:04.963Z,177398226496300
"-- ending hand #251 --",2026-03-20T04:51:02.054Z,177398226205402
"""Daveo da rula @ hL2HOafVVY"" collected 1.00 from pot",2026-03-20T04:51:02.054Z,177398226205401
"Uncalled bet of 0.50 returned to ""Daveo da rula @ hL2HOafVVY""",2026-03-20T04:51:02.054Z,177398226205400
"""drak @ 5Zglli3yOZ"" folds",2026-03-20T04:51:01.214Z,177398226121400
"""Daveo da rula @ hL2HOafVVY"" posts a big blind of 1.00",2026-03-20T04:51:00.333Z,177398226033305
"""drak @ 5Zglli3yOZ"" posts a small blind of 0.50",2026-03-20T04:51:00.333Z,177398226033304
"Player stacks: #2 ""Daveo da rula @ hL2HOafVVY"" (185.87) | #6 ""drak @ 5Zglli3yOZ"" (327.47)",2026-03-20T04:51:00.333Z,177398226033301
"-- starting hand #251 (id: lebq2q4t3irs)  No Limit Texas Hold'em (dealer: ""drak @ 5Zglli3yOZ"") --",2026-03-20T04:51:00.333Z,177398226033300
"""drak @ 5Zglli3yOZ"" shows a 2♠.",2026-03-20T04:50:58.850Z,177398225885000
"""drak @ 5Zglli3yOZ"" shows a 5♠.",2026-03-20T04:50:57.720Z,177398225772000
"-- ending hand #250 --",2026-03-20T04:50:56.712Z,177398225671202
"""drak @ 5Zglli3yOZ"" collected 20.00 from pot",2026-03-20T04:50:56.712Z,177398225671201
"Uncalled bet of 8.00 returned to ""drak @ 5Zglli3yOZ""",2026-03-20T04:50:56.712Z,177398225671200
"""Daveo da rula @ hL2HOafVVY"" folds",2026-03-20T04:50:55.900Z,177398225590000
"""drak @ 5Zglli3yOZ"" bets 8.00",2026-03-20T04:50:54.679Z,177398225467900
"River: K♥, 5♦, 8♣, K♣ [3♦]",2026-03-20T04:50:52.138Z,177398225213800
"""Daveo da rula @ hL2HOafVVY"" checks",2026-03-20T04:50:51.331Z,177398225133100
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:50:50.385Z,177398225038500
"Turn: K♥, 5♦, 8♣ [K♣]",2026-03-20T04:50:49.604Z,177398224960400
"""drak @ 5Zglli3yOZ"" calls 6.00",2026-03-20T04:50:48.759Z,177398224875900
"""Daveo da rula @ hL2HOafVVY"" bets 6.00",2026-03-20T04:50:47.621Z,177398224762100
"""drak @ 5Zglli3yOZ"" checks",2026-03-20T04:50:44.556Z,177398224455600
"Flop:  [K♥, 5♦, 8♣]",2026-03-20T04:50:43.501Z,177398224350100
"""drak @ 5Zglli3yOZ"" calls 4.00",2026-03-20T04:50:42.684Z,177398224268400
"""Daveo da rula @ hL2HOafVVY"" raises to 4.00",2026-03-20T04:50:41.821Z,177398224182100
